일시,평균습도(%rh)
Jan-13,48
Feb-13,43
Mar-13,50
Apr-13,51
May-13,61
Jun-13,74
Jul-13,70
Aug-13,61
Sep-13,72
Oct-13,64
Nov-13,44
Dec-13,46
Jan-14,43
Feb-14,71
Mar-14,50
Apr-14,52
May-14,46
Jun-14,74
Jul-14,64
Aug-14,77
Sep-14,71
Oct-14,58
Nov-14,52
Dec-14,33
Jan-15,46
Feb-15,50
Mar-15,38
Apr-15,57
May-15,46
Jun-15,65
Jul-15,70
Aug-15,69
Sep-15,69
Oct-15,53
Nov-15,69
Dec-15,48
Jan-16,37
Feb-16,47
Mar-16,49
Apr-16,52
May-16,49
Jun-16,66
Jul-16,74
Aug-16,70
Sep-16,76
Oct-16,67
Nov-16,53
Dec-16,49
Jan-17,43
Feb-17,38
Mar-17,49
Apr-17,44
May-17,47
Jun-17,62
Jul-17,68
Aug-17,75
Sep-17,61
Oct-17,67
Nov-17,38
Dec-17,34
Jan-18,32
Feb-18,38
Mar-18,51
Apr-18,48
May-18,67
Jun-18,61
Jul-18,72
Aug-18,77
Sep-18,72
Oct-18,57
Nov-18,53
Dec-18,41
Jan-19,34
Feb-19,44
Mar-19,47
Apr-19,51
May-19,44
Jun-19,69
Jul-19,71
Aug-19,72
Sep-19,76
Oct-19,67
Nov-19,56
Dec-19,47
Jan-20,56
Feb-20,53
Mar-20,56
Apr-20,51
May-20,65
Jun-20,67
Jul-20,83
Aug-20,77
Sep-20,75
Oct-20,60
Nov-20,48
Dec-20,40
Jan-21,46
Feb-21,50
Mar-21,60
Apr-21,56
May-21,60
Jun-21,73
Jul-21,77
Aug-21,77
Sep-21,77
Oct-21,70
Nov-21,52
Dec-21,48
Jan-22,47
Feb-22,39
Mar-22,57
Apr-22,50
May-22,48
Jun-22,71
Jul-22,80
Aug-22,75
Sep-22,73
Oct-22,70
Nov-22,55
Dec-22,41
Jan-23,44
Feb-23,54
Mar-23,50
Apr-23,54
May-23,59
Jun-23,66
Jul-23,72
Aug-23,80
Sep-23,80
Oct-23,59
Nov-23,48
Dec-23,
